trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trials.response,key_resp.rt,corrAns,tilt,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,
19,1,20.0,47.76535090000834,48.26318170002196,48.26318170002196,48.27960410004016,48.56320890004281,0,1.1652355000842363,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
20,1,20.0,49.44606690004002,49.946697199949995,49.946697199949995,49.946697199949995,50.247322499984875,0,0.9009660999290645,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
21,1,20.0,50.879174800007604,51.37924889998976,51.37924889998976,51.37924889998976,51.679431200027466,0,0.40320360008627176,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
22,1,20.0,51.812509599956684,52.312634099973366,52.312634099973366,52.312634099973366,52.612568599986844,0,0.6215070000616834,right,20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
23,1,20.0,52.96219850005582,53.462398499948904,53.462398499948904,53.462398499948904,53.76257070002612,1,0.3756660999497399,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
24,1,20.0,53.86319449997973,54.36199979996309,54.36199979996309,54.37886789999902,54.6622328000376,0,2.255110199912451,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
25,1,20.0,56.64512760005891,57.145062700030394,57.145062700030394,57.145062700030394,57.44508340000175,0,0.9674254999263212,right,20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
26,1,20.0,58.144558100029826,58.64526789996307,58.64526789996307,58.64526789996307,58.94461969996337,0,0.8314307999098673,right,20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
27,1,20.0,59.49403689999599,59.99442280002404,59.99442280002404,59.99442280002404,,0,0.008272600010968745,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
28,1,20.0,60.02763160003815,60.52814639999997,60.52814639999997,60.52814639999997,,0,0.06481929996516556,left,-20.0,0,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
29,1,20.0,60.61070730001666,61.11116089997813,61.11116089997813,61.11116089997813,,1,0.1405197000131011,right,20.0,1,845076,001,2023-09-06_09h47.41.823,adaptive_staircase,2023.1.3,60.000023986222494,
